landmark,x,y,description
123,87,112,"123 123"
177,96,186,"147 177"
138,109,265,"192 138"
135,136,321,"214 135"
210,168,366,"210 169
211,206,407,"211 170"
171,256,440,"208 171"
175,322,457,"199 175"
396,390,441,"426 396"
395,439,407,"431 395"
394,473,369,"430 394"
364,507,322,"434 364"
367,530,279,"416 367"
401,550,187,"376 401"
366,558,114,"352 366"
6,323,109,"6"
