landmark,x,y,description
0,164, 242,"upper lip"
17, 171, 291,"dl"
214, 109, 255,"ll"
364, 226, 251,"rl"
27, 66, 71,"reu"
23, 66, 169,"red"
130, 33, 120,"rel"
243, 111, 120,"rer"
257, 258, 80,"leu"
243, 258, 178,"led"
463, 211, 133,"lel"
263, 301, 133,"ler"
